pdmx_id,musescore_id,path,mxl,mid,metadata,composer,composer_raw,title,song_name,n_tracks,is_piano_only,license,license_url,tracks,tags,genres
QmbL2idE5ykZoHvUMVzTdEWQvmyPqgHA5C4UWET1tkjqUk,6219296,./data/1/30/QmbL2idE5ykZoHvUMVzTdEWQvmyPqgHA5C4UWET1tkjqUk.json,./mxl/1/30/QmbL2idE5ykZoHvUMVzTdEWQvmyPqgHA5C4UWET1tkjqUk.mxl,./mid/1/30/QmbL2idE5ykZoHvUMVzTdEWQvmyPqgHA5C4UWET1tkjqUk.mid,./metadata/5/6219296.json,Wolfgang Amadeus Mozart,W.A. Mozart,W.A. Mozart - Contredanse in F K. 15h,The London Sketchbook 15a - 15ss,1,True,cc-zero,https://creativecommons.org/publicdomain/zero/1.0/,0,mozart-contredanse-kh-piano,classical
QmbL9PGbaMppKiinnANtR7pz1pTVfpi3NYuLvMztEkLfQD,5963492,./data/1/30/QmbL9PGbaMppKiinnANtR7pz1pTVfpi3NYuLvMztEkLfQD.json,./mxl/1/30/QmbL9PGbaMppKiinnANtR7pz1pTVfpi3NYuLvMztEkLfQD.mxl,./mid/1/30/QmbL9PGbaMppKiinnANtR7pz1pTVfpi3NYuLvMztEkLfQD.mid,./metadata/6/5963492.json,Jean-Philippe Rameau,Jean-Philippe Rameau,J.P. Rameau Suite en Sol Nr 4 La Poule (The Hen),La poule Suite en sol,1,True,cc-zero,https://creativecommons.org/publicdomain/zero/1.0/,0,rameau-keyboard-suite,classical
Qmb6t5oDRJdoiHCaYgZ32y8sKystc3D1Ri8oi265xoLrDb,5370562,./data/1/5/Qmb6t5oDRJdoiHCaYgZ32y8sKystc3D1Ri8oi265xoLrDb.json,./mxl/1/5/Qmb6t5oDRJdoiHCaYgZ32y8sKystc3D1Ri8oi265xoLrDb.mxl,./mid/1/5/Qmb6t5oDRJdoiHCaYgZ32y8sKystc3D1Ri8oi265xoLrDb.mid,./metadata/3/5370562.json,Wolfgang Amadeus Mozart,W. A. Mozart,Leck mich im Arsch - MOZART,Leck mich im Arsch K 231,6,False,cc-zero,https://creativecommons.org/publicdomain/zero/1.0/,52-52-52-52-52-52,NA,classical
Qmb6JtErZWzEthN6J9aag4X3C1jYuw3Lp2xvwzosoQZ2pq,5861011,./data/1/5/Qmb6JtErZWzEthN6J9aag4X3C1jYuw3Lp2xvwzosoQZ2pq.json,./mxl/1/5/Qmb6JtErZWzEthN6J9aag4X3C1jYuw3Lp2xvwzosoQZ2pq.mxl,./mid/1/5/Qmb6JtErZWzEthN6J9aag4X3C1jYuw3Lp2xvwzosoQZ2pq.mid,./metadata/8/5861011.json,Pyotr Ilyich Tchaikovsky,P. I. Tchaikovsky(arr. T.Inaba),Pas de deux from The Nutcracker- cello and piano,Pas de Deux,2,False,cc-zero,https://creativecommons.org/publicdomain/zero/1.0/,0-42,cello-tsaikovskiy,classical
QmbtqGpbZ6U9DECtd1YBPf2fXQP2kPyRnEU2A8odVEfzb1,6036800,./data/1/44/QmbtqGpbZ6U9DECtd1YBPf2fXQP2kPyRnEU2A8odVEfzb1.json,./mxl/1/44/QmbtqGpbZ6U9DECtd1YBPf2fXQP2kPyRnEU2A8odVEfzb1.mxl,./mid/1/44/QmbtqGpbZ6U9DECtd1YBPf2fXQP2kPyRnEU2A8odVEfzb1.mid,./metadata/2/6036800.json,Domenico Scarlatti,Domenico Scarlatti (1685-1757),D. Scarlatti - Sonata A Major K. 323,Keyboard Sonata in A Major K. 323,1,False,cc-zero,https://creativecommons.org/publicdomain/zero/1.0/,4,domenico-scarlatti-sonata-cembalo-a-major-k,classical
QmbtaWNAjHzrU4JUEYtyFXuSAHvgNK9Sk5Ce5dJo2wJghR,130873,./data/1/44/QmbtaWNAjHzrU4JUEYtyFXuSAHvgNK9Sk5Ce5dJo2wJghR.json,./mxl/1/44/QmbtaWNAjHzrU4JUEYtyFXuSAHvgNK9Sk5Ce5dJo2wJghR.mxl,./mid/1/44/QmbtaWNAjHzrU4JUEYtyFXuSAHvgNK9Sk5Ce5dJo2wJghR.mid,./metadata/7/130873.json,Johann Sebastian Bach,J. S. Bach,BWV 862 The Well-Tempered Clavier Part I Fuga XVII,Prelude and Fugue in A-flat major BWV 862,1,False,cc-zero,https://creativecommons.org/publicdomain/zero/1.0/,46,NA,classical
QmbKbqPjKFS1161Ji6TaDPx3kXa8XjEDFQHxi71FLiRnL6,3582621,./data/1/29/QmbKbqPjKFS1161Ji6TaDPx3kXa8XjEDFQHxi71FLiRnL6.json,./mxl/1/29/QmbKbqPjKFS1161Ji6TaDPx3kXa8XjEDFQHxi71FLiRnL6.mxl,./mid/1/29/QmbKbqPjKFS1161Ji6TaDPx3kXa8XjEDFQHxi71FLiRnL6.mid,./metadata/3/3582621.json,Ludwig van Beethoven,Ludvig van Beethoven,Nei campi e nelle selve (Zweite Komposition),Nei campi e nelle selve,2,False,cc-zero,https://creativecommons.org/publicdomain/zero/1.0/,52-52,NA,classical
QmbKKfksqLDETfseqJkgrF1waMaiB9pd7SjDg6776v9tQE,4594959,./data/1/29/QmbKKfksqLDETfseqJkgrF1waMaiB9pd7SjDg6776v9tQE.json,./mxl/1/29/QmbKKfksqLDETfseqJkgrF1waMaiB9pd7SjDg6776v9tQE.mxl,./mid/1/29/QmbKKfksqLDETfseqJkgrF1waMaiB9pd7SjDg6776v9tQE.mid,./metadata/5/4594959.json,Henry Purcell,by Purcell,by Purcell - The Scotch Measure,The Scotch Measure,1,False,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,0,NA,classical
QmbKBXR3QejKxjkCaxJyDY3NDA8WE4jXrv2bjEcbpDfmiq,24962,./data/1/29/QmbKBXR3QejKxjkCaxJyDY3NDA8WE4jXrv2bjEcbpDfmiq.json,./mxl/1/29/QmbKBXR3QejKxjkCaxJyDY3NDA8WE4jXrv2bjEcbpDfmiq.mxl,./mid/1/29/QmbKBXR3QejKxjkCaxJyDY3NDA8WE4jXrv2bjEcbpDfmiq.mid,./metadata/2/24962.json,Johann Sebastian Bach,melody Hans Leo Hassler 1601 harm. J.S. Bach 1729,BWV244 O Haupt Voll Blut Und Wunden,Matthäuspassion BWV 244b,2,False,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,16-19,jsbach-stmatthewpassion-bwv-ohauptvollblutundwunden,classical
QmbK1cu3HRfmdaRyX7sXAtNS1u64M9J9SwBhzB4rYEhNt7,5684900,./data/1/29/QmbK1cu3HRfmdaRyX7sXAtNS1u64M9J9SwBhzB4rYEhNt7.json,./mxl/1/29/QmbK1cu3HRfmdaRyX7sXAtNS1u64M9J9SwBhzB4rYEhNt7.mxl,./mid/1/29/QmbK1cu3HRfmdaRyX7sXAtNS1u64M9J9SwBhzB4rYEhNt7.mid,./metadata/8/5684900.json,Johannes Brahms,Johannes Brahms (1833-1897),So wünsch ich ihr ein' gute Nacht,49 Deutsche Volkslieder WoO 33,2,False,cc-zero,https://creativecommons.org/publicdomain/zero/1.0/,0-52,brahms-voice,classical
